,B cells,CD4 T cells,CD8 T cells,DC,Monocytes,NK cells,Tregs
pbmc_1,0.0747257622167934,0.11250378028681887,0.01786427499996603,0.019902417441522862,0.23989981267666025,0.18296543415508476,0.3521385182231537
pbmc_10,0.06620847924266574,0.0802498515291121,0.014253998523159547,0.03093156102437422,0.426215227322915,0.23156704981986517,0.12295420341879784
pbmc_12,0.1789080478763058,0.0652756132169164,0.005123639902376961,0.05026115389585741,0.22376624041789145,0.332024328082749,0.1446409766079028
pbmc_2,0.12601609889337811,0.039076892344057215,0.01611936867754047,0.03790219930724041,0.3117125050584179,0.21537229224433163,0.24862767789643833
pbmc_4,0.12704172976093325,0.08608105705937698,0.01814023318864938,0.044308435569974804,0.21191496885085845,0.26868106648457196,0.2438325090856352
pbmc_5,0.09815597560439777,0.03599088082891528,0.015935770625570698,0.04787479738895006,0.31329070403963905,0.3808636994143817,0.07064750689517775
pbmc_6,0.12940977677492518,0.026452332474032926,0.021580373356990732,0.033682540843817096,0.3528667254722162,0.28573238401147405,0.11095989398119555
pbmc_7,0.17804467945145525,0.08214376940143948,0.010438625948651723,0.03307349557972125,0.2415283389153577,0.32374552792925726,0.13102556277411737
pbmc_9,0.13010078097430341,0.07622961716320828,0.005701737972319095,0.06363174633013771,0.3210060200948376,0.25785603421798087,0.14547406324721304
