,B cells,CD4 T cells,CD8 T cells,DC,Monocytes,NK cells,Tregs
pbmc_1,0.07571054505046335,0.15046087118865703,0.019803451928914122,0.021709752762138854,0.22568823359844545,0.160274068286886,0.34635307718449515
pbmc_10,0.07488628167822825,0.09307606845525673,0.014715055402460701,0.02750401909720735,0.4185043002985406,0.20241801027004747,0.16889626479825898
pbmc_12,0.18776032938693313,0.06690578236174897,0.003989136345613644,0.05154240540073714,0.2270563679315471,0.3194415232362051,0.14330445533721478
pbmc_2,0.15660402789986344,0.03871919266221435,0.017790341834905403,0.032127562901941076,0.2734165834912709,0.21960047330860707,0.2617418179011979
pbmc_4,0.14950753506973957,0.06697134111131242,0.015286193693398472,0.04314602667282353,0.22136328835102684,0.2752797474563583,0.22844586764534072
pbmc_5,0.10192293293522933,0.03976344482848592,0.01988026873064441,0.046801641067402366,0.31245048378139195,0.38793896423142893,0.08435815418350516
pbmc_6,0.12828996662711692,0.03288812091040758,0.02303888737546089,0.03678152840574104,0.3602981554215789,0.2944304070182572,0.09979041326484778
pbmc_7,0.1886583365283307,0.07269154473693153,0.010543996544512251,0.03447323967763997,0.24399617202155846,0.33379636750944364,0.11584034298158352
pbmc_9,0.13359084530142828,0.06566578164640806,0.006838985142064511,0.0577691184160893,0.3197918463903657,0.2567320826016173,0.15961134050202677
