,PCC,SCC,CCC,RMSE,RD,MAD
B cells,0.9718537385153322,0.9651048365648509,0.11025383312802507,0.2165792592637221,-0.8388358492958319,0.16154576983185545
CD4 T cells,0.7155674931174003,0.5513136912370191,0.03071488006412573,0.23638097537907202,-0.6952529351435092,0.17684447368752257
CD8 T cells,0.9356413307747252,0.6486627770795353,0.08624185580266719,0.08975648649706995,-0.5232381258467972,0.04686173513971991
DC,0.9585742631790718,0.9897447007942117,0.07138508954494302,0.2165160252704803,-0.805475817326405,0.15440172250516285
Monocytes,0.9046182522023558,0.8860515746399221,0.06183294327297722,0.20504051150038027,-0.7764831446390806,0.15996936826412364
NK cells,0.9080360611128558,0.9312105687727927,0.1161824430100119,0.1957229382331265,-0.7383087375106308,0.14225500955630926
Tregs,0.9454373769841885,0.33039107831741454,0.08458190771565396,0.11077501724655794,0.5575357173878821,0.05618287679400278
