,B cells,CD4 T cells,CD8 T cells,DC,Monocytes,NK cells,Tregs,Pred B cells,Pred CD4 T cells,Pred CD8 T cells,Pred DC,Pred Monocytes,Pred NK cells,Pred Tregs,SampleID,error
pbmc_1,0.0651685393258427,0.4247191011235955,0.1752808988764045,0.0179775280898876,0.2247191011235955,0.0741573033707865,0.0179775280898876,0.06599993689570674,0.1414648705008393,0.015263789592135419,0.02358953823007378,0.22525578083705353,0.1602230741989472,0.36820300974524384,pbmc_1,-0.3502254816553562
pbmc_10,0.0725623582766439,0.2018140589569161,0.2063492063492063,0.0249433106575963,0.4058956916099773,0.0793650793650793,0.0090702947845804,0.07100391219402259,0.06665876086204672,0.023247977283611897,0.030905113824477567,0.41816665440845996,0.21414466913226865,0.14096724997627594,pbmc_10,-0.13189695519169553
pbmc_12,0.0564334085778781,0.1715575620767494,0.3363431151241535,0.0474040632054176,0.2257336343115124,0.1580135440180587,0.0045146726862302,0.1849465222296867,0.06004713983009739,0.002706340355462366,0.05920041516064307,0.212339547104344,0.32221515736054857,0.15854487795921796,pbmc_12,-0.15403020527298775
pbmc_2,0.0333333333333333,0.3023809523809523,0.1928571428571428,0.0261904761904761,0.2952380952380952,0.1333333333333333,0.0166666666666666,0.13712450804104778,0.04922197243421605,0.01599953414915337,0.031926382296799484,0.2910413059078425,0.210143031279245,0.26454326589169574,pbmc_2,-0.24787659922502914
pbmc_4,0.0443925233644859,0.2616822429906542,0.2850467289719626,0.0397196261682243,0.2266355140186916,0.1331775700934579,0.0093457943925233,0.14583263567427548,0.07591234684705091,0.013211946550205725,0.043128770136770904,0.23133959232845416,0.26350329000316325,0.22707141846007955,pbmc_4,-0.21772562406755624
pbmc_5,0.0659340659340659,0.0923076923076923,0.4021978021978022,0.0461538461538461,0.2879120879120879,0.0967032967032967,0.0087912087912087,0.10095270870447962,0.031726098527553453,0.016162738137991718,0.04263236561776312,0.31482770549346756,0.3779978065142858,0.08862694047434509,pbmc_5,-0.07983573168313639
pbmc_6,0.0709534368070953,0.1086474501108647,0.3126385809312638,0.0266075388026607,0.3569844789356984,0.1130820399113082,0.0110864745011086,0.12905906360185618,0.04057616768173197,0.021535310355882662,0.03526769324153978,0.378109076283812,0.29301149316090536,0.10141548629253924,pbmc_6,-0.09032901179143064
pbmc_7,0.0425531914893617,0.1340425531914893,0.3425531914893617,0.0340425531914893,0.2531914893617021,0.1851063829787234,0.0085106382978723,0.17932971527217934,0.07810486332541226,0.006900190213819482,0.03979401344929482,0.24703833103363737,0.32766696462330286,0.12116592208235374,pbmc_7,-0.11265528378448145
pbmc_9,0.0564705882352941,0.1505882352941176,0.2658823529411764,0.0541176470588235,0.3294117647058823,0.1341176470588235,0.0094117647058823,0.12133874719499008,0.06059122393074114,0.007292515011938836,0.05498207921686584,0.31051549211571866,0.2675613084173187,0.17771863411242672,pbmc_9,-0.16830686940654443
