,PCC,SCC,CCC,RMSE,RD,MAD
B cells,0.9980472482572622,0.9977123430715376,0.9970272554834059,0.012287971173527751,0.054653713359947585,0.008593663666334324
CD4 T cells,0.9914893537387736,0.98258154134838,0.9886891716542539,0.022820917029876556,0.5525362633136371,0.01589668658527053
CD8 T cells,0.9904338194635046,0.9405691181701381,0.9853423256216817,0.014998028902663699,0.19025923771105177,0.007279223268041428
DC,0.998539638325123,0.998389302917167,0.998269621129017,0.009813913519668808,0.015494456375576202,0.006715893145135987
Monocytes,0.9989515052374467,0.9980934309500349,0.9989123438627853,0.008056992033187405,0.021222448439277772,0.006134889344035991
NK cells,0.9977414991785558,0.9968825202118228,0.9972038980946261,0.011611892242242678,0.06955460179826117,0.00835102688479469
Tregs,0.9927952127365733,0.9228460705404252,0.9891180744543829,0.012518648238263524,0.5107338294909782,0.007682656047411871
