,PCC,SCC,CCC,RMSE,RD,MAD
B cells,0.9975572903948867,0.997734367677709,0.9972664263944097,0.011559215195047708,0.017890210025889672,0.007659522062336206
CD4 T cells,0.9884743061285927,0.9786579915928909,0.9878047438547906,0.02203430137043435,0.22850328720970706,0.016707343949864995
CD8 T cells,0.9913033420218411,0.9534431988899272,0.9896678516152166,0.012125919863048593,0.14332207430850852,0.006232166731824254
DC,0.9983983819900717,0.9987999423671892,0.9982668128620281,0.00908568056326757,0.03937420308940161,0.00622004792344075
Monocytes,0.9988130726807112,0.99804650576461,0.9986664529317737,0.008327169723493361,0.040202289343408214,0.006293441539725799
NK cells,0.9976844695887918,0.9965318510310395,0.9967702796645274,0.013281798330544001,0.04012600164491114,0.009974913773299579
Tregs,0.9888532572212113,0.8954543241776872,0.9863672771088146,0.015865003128426945,0.43262778370511495,0.009070683613927573
