,PCC,SCC,CCC,RMSE,RD,MAD
B cells,0.99726087644205,0.9969563851845777,0.9961073836504112,0.011884287660978224,0.04017299199652115,0.007565615823086402
CD4 T cells,0.9890876511825818,0.9855627916410877,0.9850536171247345,0.029064048494119966,0.15677901377582712,0.02116126398605142
CD8 T cells,0.9931296630077386,0.9453800460348007,0.9926792387235747,0.009776029046523384,0.18145765723746854,0.0063505540879503055
DC,0.9978451077435173,0.9983311870834611,0.9976539665849677,0.0103429725720591,0.021450616476364752,0.007246777248735268
Monocytes,0.9986335146629756,0.9981500053226677,0.9982658663388507,0.008670038736633844,0.019012812884921963,0.0064235522312059
NK cells,0.9977050828045533,0.9970401529002014,0.9971847832556089,0.01041284018252452,0.04205837028939648,0.00782272162748345
Tregs,0.9867739418429526,0.8845381437377219,0.9809807775757375,0.016619015233824856,0.5123356715295107,0.008749829364490501
