,PCC,SCC,CCC,RMSE,RD,MAD
B cells,0.996588878808339,0.9966144045834078,0.9963017229764769,0.0137953880407106,0.03843209308440621,0.00981971642684742
CD4 T cells,0.9876555521544075,0.9844883107409008,0.9842304633450237,0.02810834990362184,0.0326842230502379,0.02190418391937603
CD8 T cells,0.990547625974006,0.9161783590267725,0.9905035459042814,0.011318892131540532,0.17753485098234084,0.007875695586670577
DC,0.9973944828541211,0.9967340849609824,0.9971348369710624,0.012301962499239177,0.07412018727535885,0.009319179974643637
Monocytes,0.996649429740019,0.9917645084373267,0.9958870657522995,0.012590651588230608,-0.0580382134522004,0.009704106027684812
NK cells,0.9961210197382651,0.9851578294712713,0.9953023489435523,0.014446781045030851,0.035236009973947026,0.010744666472883153
Tregs,0.9868025469240854,0.8819263503720781,0.9805750424679573,0.01963050488773188,0.41516224173407473,0.011775999921492588
