,PCC,SCC,CCC,RMSE,RD,MAD
B cells,0.9974163530544305,0.9978166142400235,0.9969950272445562,0.012261706382531816,0.03170099752854012,0.00851936078780899
CD4 T cells,0.9938157364353217,0.9869793817704753,0.9909079179144512,0.02351179973926474,0.1777651039713189,0.01753446164547502
CD8 T cells,0.9925065321933635,0.9323731597804361,0.9906336049979436,0.011824934280801678,0.16263268228454153,0.0068796006228928185
DC,0.998198546748203,0.9980926738192427,0.9976829634525044,0.009940030550706046,-0.0012283690984985873,0.006592005596810744
Monocytes,0.9978939117049018,0.9981931684455423,0.9972378126887546,0.01211188257633619,0.04678922962227512,0.007030118480715409
NK cells,0.9978130244010716,0.9972184652448053,0.9973651480874295,0.011145265124036451,0.04101259674724516,0.008112172973399012
Tregs,0.9923240579385187,0.8832349941708638,0.9888682856828944,0.012512047903763384,0.5112039907563812,0.008001039173165754
