,PCC,SCC,CCC,RMSE,RD,MAD
B cells,0.9978939445235793,0.9980067857516336,0.9969004923037442,0.012545601683336457,0.0020283617271580822,0.008828059507029175
CD4 T cells,0.9915033901270818,0.9885334727577286,0.990042494173909,0.021219179888404067,0.04701677004208415,0.014978837409837938
CD8 T cells,0.9943408752499848,0.9316228360313862,0.9938038446363917,0.008791314995123357,0.1575401046116653,0.005751430173308878
DC,0.9980090202578609,0.9983323102646626,0.9968380640719746,0.012258702389921725,0.016131836493020173,0.0069968962228625685
Monocytes,0.9974847157624143,0.9973073603462755,0.996873140622677,0.012034415269445636,0.014061696549212901,0.0067898483860664586
NK cells,0.9980119460662438,0.9971318661506064,0.9975075217337371,0.009907611298757895,0.056086284099824066,0.007118690778639558
Tregs,0.9921584554951378,0.8234440817076545,0.9909790814414169,0.010167760333920002,0.5279391544516662,0.007480642950874725
