,PCC,SCC,CCC,RMSE,RD,MAD
B cells,0.9974921687259006,0.9976156175423583,0.9968358980479926,0.012981578569861079,0.02955230682057948,0.008521419948850863
CD4 T cells,0.9924071862901299,0.9868118869879599,0.9896236981869978,0.022385697335691342,0.3765483122084896,0.016027561704054016
CD8 T cells,0.9953438308830278,0.9394633142992799,0.9934707190906228,0.009427633917652141,0.16885810917132354,0.005920095930969249
DC,0.9962378287746547,0.9981958076447458,0.9939889082177809,0.018603646109589696,0.008279113688857191,0.008348314021526892
Monocytes,0.9984707953659686,0.9979835377044353,0.9980057330683888,0.01003932241961428,0.02680478075834839,0.0067920569191731875
NK cells,0.9969573978576437,0.9959406088207842,0.9959813331807178,0.013206800106556496,0.023146893858192876,0.00919916842849948
Tregs,0.9934843566675813,0.8764214904767046,0.9922510489451154,0.010487703216233213,0.5596019225343861,0.007312625796442544
