,B cells,CD4 T cells,CD8 T cells,DC,Monocytes,NK cells,Tregs
pbmc_1,0.009439780760423544,0.020154167020321426,0.0048210335931123185,0.0032230530473811945,0.02314935322790882,0.009853347559697431,0.029662439880304158
pbmc_10,0.008778681262416389,0.018237971017560983,0.004993483856676636,0.003670322864807132,0.037215942867580884,0.013750036960931036,0.010237697233015826
pbmc_12,0.01911659629344002,0.01557802049825989,0.0048196191339904175,0.0071251068893729225,0.020981010153002293,0.03622938837903332,0.012386022450062322
pbmc_2,0.015800814098304184,0.01787603362992607,0.004904253489066366,0.003670322864807132,0.03278416152826165,0.017940136669331645,0.021820679323388166
pbmc_4,0.016413386785260997,0.018944155559440717,0.004803268433060578,0.006526596531799989,0.019769004411572356,0.028775421355812895,0.019074236331404076
pbmc_5,0.013033257193323782,0.018369353402715158,0.004731508482662971,0.006792955002553275,0.03331647740496264,0.039693832771803154,0.00952396173316879
pbmc_6,0.015478610673011421,0.01630859994779184,0.0047440175754029775,0.003670322864807132,0.036146249630509025,0.026457075164574996,0.009634336115964249
pbmc_7,0.02636556261058341,0.017580129343611303,0.005004479173008727,0.003485665775063964,0.022651034959166302,0.03485180956293653,0.011595259182989702
pbmc_9,0.01643912588996794,0.01719405873933256,0.004923973946257323,0.006655502673196006,0.03502838948459311,0.02513798928504187,0.014147921212493595
