,PCC,SCC,CCC,RMSE,RD,MAD
B cells,-0.6130832727502865,-0.7166666666666667,-0.04239784752501451,0.04396630905145108,-0.6916822631713178,0.040770625530807694
CD4 T cells,0.6737790381092504,0.4666666666666666,0.0038703780335128885,0.21263381537285309,-0.8939358277398421,0.18749970658600792
CD8 T cells,-0.37985119957987395,-0.33333333333333337,-6.460399277605729e-05,0.28444646682067404,-0.9812910521209103,0.2750448202283595
DC,0.909222514635159,0.8306277919354926,0.03235547933058839,0.03190844112116209,-0.8564790883981259,0.030259637889403636
Monocytes,0.9172246670814608,0.8666666666666667,0.010535727118955658,0.2661914817511953,-0.9001455067070047,0.2605200259499651
NK cells,0.6015632750998301,0.5,0.037422338045021195,0.10148567371293624,-0.7882036813165179,0.0971519065693005
Tregs,0.7920068548851561,0.5499999999999999,0.5072523581692308,0.006286283705005943,0.5211549672745553,0.005067976368568842
