,PCC,SCC,CCC,RMSE,RD,MAD
B cells,-0.7027171195650913,-0.7999999999999999,-0.09824767367187758,0.09048908753946679,1.6149181446518692,0.07528432252653901
CD4 T cells,0.7188934387775077,0.5833333333333334,0.1217633623896089,0.16473310045473202,-0.6573869655239573,0.14141814637730166
CD8 T cells,-0.24637674155837921,-0.09999999999999999,-0.002487027865014188,0.2771301573453984,-0.9488148211229765,0.26707159287093457
DC,0.9627627969318178,0.9833333333333333,0.8756814325690147,0.005986618861518911,0.16413728584032283,0.005461867493224141
Monocytes,0.9866959841300758,0.9333333333333332,0.983749359224547,0.01127646066958533,0.010863694581972819,0.009511631331376752
NK cells,0.4133137713209947,0.4666666666666666,0.06174461948565575,0.16243879502633027,1.3564340061198894,0.15222695625232133
Tregs,0.771484493258173,0.6,0.014544252014924501,0.18482474348525302,16.439790261787603,0.16690125021543445
