,B cells,CD4 T cells,CD8 T cells,DC,Monocytes,NK cells,Tregs
pbmc_1,0.06832427093685875,0.12670821221672243,0.01684016814913569,0.019603418128685747,0.2272625612003826,0.1791108599252385,0.36215050944297617
pbmc_10,0.07326383336334323,0.07028362060928361,0.014356001539261984,0.03215991265640394,0.4119046006483627,0.2216620555119494,0.16064533443816187
pbmc_12,0.1796657748433697,0.06583347785347671,0.002793312191140272,0.05555058950881687,0.23593814047968814,0.32344500030176493,0.13677370482174325
pbmc_2,0.15962279559414033,0.04158835218502634,0.016342648409195838,0.0328146179474271,0.2900601555892819,0.21149793845333567,0.24807349182159288
pbmc_4,0.13618771276117575,0.06423221286869847,0.011497762529634617,0.0452542363708475,0.22318366405108714,0.2548563887946306,0.23092620541959913
pbmc_5,0.11761561194714563,0.03425572018285524,0.017117086771074475,0.04452808885603384,0.30718812746780016,0.3833720466506012,0.09592331812448937
pbmc_6,0.1239224616695192,0.03883833394961298,0.02047805128976538,0.034602898662770734,0.3773554755900944,0.305145476303062,0.09965730253517527
pbmc_7,0.19325983794474708,0.06934278898045255,0.008193425505693045,0.041030004740467495,0.24397220250585783,0.3256602814526147,0.1185414588701673
pbmc_9,0.1334980490225523,0.06389381219118813,0.00788622751516121,0.05751811549036102,0.3200600706892101,0.2723487557105625,0.1447949693809647
