,PCC,SCC,CCC,RMSE,RD,MAD
B cells,0.6817656115770766,0.45,0.617254028500525,0.011243721082817187,0.1272856954412812,0.008170214138155989
CD4 T cells,0.8538204282759774,0.9333333333333332,0.6590498920551833,0.056723370391396674,0.07538638023163169,0.03497041383495173
CD8 T cells,0.8998424562820106,0.8666666666666667,0.4121430581573921,0.06368606938863036,0.23131710165326577,0.05420466357552692
DC,-0.8267745361089196,-0.6166666666666666,-0.1770525656662157,0.07052392076308366,2.2110711664024,0.049380821441117766
Monocytes,0.5214000842433262,0.6833333333333333,0.2747678196866838,0.06077885122776166,-0.12857458897502824,0.04410775183279333
NK cells,0.8656283719990985,0.8666666666666667,0.7187168301159983,0.032580033671190466,0.1416354551050908,0.02697229564034691
Tregs,0.33703447974286127,0.4435185266405332,0.012724963994134805,0.047863593194103306,5.022944764373135,0.04637195028716548
