,PCC,SCC,CCC,RMSE,RD,MAD
B cells,0.9985290495470964,0.9988422887281437,0.9982993504352804,0.00954460037562351,0.022121583391471522,0.005721559487416003
CD4 T cells,0.9933649355137604,0.9856501425227051,0.9911040440597552,0.020224108330207918,0.2549421164178601,0.015101173854752091
CD8 T cells,0.9966975982663653,0.9403490764384204,0.9939877880556519,0.009194998681811895,0.18021543408042934,0.005169525493314147
DC,0.9981669482895422,0.9979295169323884,0.9979471993117731,0.009154155714223948,0.01914003208292888,0.005928745515799114
Monocytes,0.998140469954543,0.9967035985853182,0.9980035116140878,0.008854561247531978,0.04505180809617801,0.006770869588257724
NK cells,0.9987644207148435,0.9981470627321121,0.9983339308876478,0.009382621816223543,0.0018982533828394222,0.006407349348409681
Tregs,0.9855327276491646,0.8993951135998177,0.9816916735913157,0.019334900617521366,0.41015706639265354,0.009305047069254668
