,PCC,SCC,CCC,RMSE,RD,MAD
B cells,0.624674055215564,0.65,0.5889147278257925,0.011212053022461331,-0.06376650909939754,0.0088697379134162
CD4 T cells,0.8923927944813319,0.8666666666666667,0.6644135432610813,0.05556047798544818,0.13730362414430647,0.0436497259590086
CD8 T cells,0.10654257942267358,-0.049999999999999996,0.03629192001471161,0.10170623454046228,0.3969327194901005,0.08727959820627582
DC,-0.5846955692445158,-0.7,-0.30529964748266747,0.02865544250194492,0.8093323795286339,0.022435382955898572
Monocytes,0.8883161117331538,0.9166666666666666,0.5656858219624743,0.046255475886272976,-0.11716200561603168,0.03616551353928975
NK cells,0.7181338385198335,0.8666666666666667,0.6566419025851492,0.030049970620204657,0.13403756960188154,0.023050989549745434
Tregs,0.24543311721403743,0.3765723339400754,0.010289051295589087,0.04623067598997615,4.868825685817864,0.044482543136354684
