,PCC,SCC,CCC,RMSE,RD,MAD
B cells,0.9972847461323,0.9964470973866191,0.9969165367649944,0.010871146521550542,0.0415488351008641,0.008094749927855003
CD4 T cells,0.9911592270574697,0.9834267325252106,0.9897987127779674,0.020842974958951592,0.16027939559997648,0.015886697095684556
CD8 T cells,0.9935681261422737,0.9446386437921349,0.9929640462115253,0.009736157640901981,0.15995429358115287,0.006062409110466171
DC,0.997680844138823,0.9980544136111692,0.997340211020737,0.012047767257615551,0.01727557318986438,0.007985857604202897
Monocytes,0.9982619025318432,0.9983338004264817,0.9978251847290439,0.010924018907086658,0.02022534684901968,0.007182920654234902
NK cells,0.9960038593545503,0.9963293149543531,0.9937970962687304,0.018552365332623767,0.01344627423173049,0.01055788566767228
Tregs,0.9941421051796837,0.8981631187139091,0.9902043932649677,0.013039291963084997,0.4684937159357678,0.008309371461045982
