,PCC,SCC,CCC,RMSE,RD,MAD
B cells,0.997415314815155,0.9970070861467,0.9969780887302846,0.011659130604268762,0.014963202608378997,0.008480571195837465
CD4 T cells,0.9911498645112268,0.9870465439086161,0.989255984464183,0.025456629766888898,0.22410452265398612,0.01882747707503212
CD8 T cells,0.9940348393724813,0.9487526633574831,0.9929024954182263,0.010247237667101507,0.2045579916103081,0.0061044471430200765
DC,0.9977412630111644,0.9984718202355957,0.9968270310919899,0.012410336478991021,0.030054756716517965,0.007486556940310565
Monocytes,0.9983195152531726,0.997568401036077,0.9981498819007673,0.008971758661427572,0.013233933566617808,0.006722388318950869
NK cells,0.9973873039363924,0.9963326805677336,0.996197258401154,0.013768616197701674,0.02747105336344319,0.009248689453974243
Tregs,0.9870957715193603,0.895533836070649,0.9722640924006428,0.024047694508360182,0.488202106753258,0.010849984381740703
