,PCC,SCC,CCC,RMSE,RD,MAD
B cells,0.9981247662756582,0.9972337362786202,0.9972336909955117,0.01177448414982642,0.021755312578124086,0.008171120023022725
CD4 T cells,0.9880284583955602,0.9858664553465866,0.9867100800898622,0.022545996371068102,0.09559805676907025,0.015552175389581509
CD8 T cells,0.9958459238119546,0.9512757518064108,0.9955124862490552,0.007248814651871522,0.16785125079435295,0.0051685598600710436
DC,0.9982886741594068,0.9981556653807111,0.9981364259193645,0.00911751672641174,0.053587275131221995,0.0065438875936045145
Monocytes,0.9985727053191121,0.9970924730919036,0.9983188942109907,0.009490671227306917,0.05316274598052385,0.006545874929172941
NK cells,0.9978207289787078,0.9979670581979843,0.9964067667432844,0.014110856848419414,0.043068757774952,0.009473754046412037
Tregs,0.9925843571192172,0.8888502222640253,0.9909453086117698,0.011215763845462936,0.5519663305130824,0.00762986913654768
