,B cells,CD4 T cells,CD8 T cells,DC,Monocytes,NK cells,Tregs
pbmc_1,0.06611606613052282,0.10705490064609313,0.016065749327968445,0.02280647751089542,0.22235278052218824,0.16836586223460465,0.39723816362772735
pbmc_10,0.07107465910475963,0.08322875465956972,0.01504494009189895,0.0305634816166357,0.4222633620885013,0.21748622120883956,0.15168121106426735
pbmc_12,0.1908848106221883,0.061614760252959845,0.0049099114542103485,0.05348060786887906,0.22519140002708968,0.31972644096047964,0.14419206881419314
pbmc_2,0.1489063469019791,0.03581914811976208,0.01689914171081967,0.033729857643318595,0.31145747612795077,0.21659211961215838,0.2365959098840114
pbmc_4,0.1318716441004468,0.07802796573411161,0.013530997573247909,0.04271068712102803,0.2211032863463586,0.25619681603922506,0.256558603085582
pbmc_5,0.11314223927658335,0.03434269271595963,0.015211521469615836,0.04549540061886619,0.32435641404505994,0.37980842116748187,0.08764331070643311
pbmc_6,0.12889451906900434,0.03916899935278407,0.022349356826014757,0.032459417889887876,0.3769195291750081,0.29220719414128593,0.10800098354601509
pbmc_7,0.19394393956565625,0.07652267440611667,0.011279150312054877,0.034767429344761035,0.2516178141031012,0.31603311449141563,0.11583587777689416
pbmc_9,0.13038845510824879,0.05610158619267367,0.008615305142653192,0.05648730768405363,0.31774365830061496,0.2643816335789288,0.16628205399282694
