,B cells,CD4 T cells,CD8 T cells,DC,Monocytes,NK cells,Tregs,Pred B cells,Pred CD4 T cells,Pred CD8 T cells,Pred DC,Pred Monocytes,Pred NK cells,Pred Tregs,SampleID,error
pbmc_1,0.0651685393258427,0.4247191011235955,0.1752808988764045,0.0179775280898876,0.2247191011235955,0.0741573033707865,0.0179775280898876,0.06611606613052282,0.10705490064609313,0.016065749327968445,0.02280647751089542,0.22235278052218824,0.16836586223460465,0.39723816362772735,pbmc_1,-0.37926063553783973
pbmc_10,0.0725623582766439,0.2018140589569161,0.2063492063492063,0.0249433106575963,0.4058956916099773,0.0793650793650793,0.0090702947845804,0.07107465910475963,0.08322875465956972,0.01504494009189895,0.0305634816166357,0.4222633620885013,0.21748622120883956,0.15168121106426735,pbmc_10,-0.14261091627968694
pbmc_12,0.0564334085778781,0.1715575620767494,0.3363431151241535,0.0474040632054176,0.2257336343115124,0.1580135440180587,0.0045146726862302,0.1908848106221883,0.061614760252959845,0.0049099114542103485,0.05348060786887906,0.22519140002708968,0.31972644096047964,0.14419206881419314,pbmc_12,-0.13967739612796293
pbmc_2,0.0333333333333333,0.3023809523809523,0.1928571428571428,0.0261904761904761,0.2952380952380952,0.1333333333333333,0.0166666666666666,0.1489063469019791,0.03581914811976208,0.01689914171081967,0.033729857643318595,0.31145747612795077,0.21659211961215838,0.2365959098840114,pbmc_2,-0.2199292432173448
pbmc_4,0.0443925233644859,0.2616822429906542,0.2850467289719626,0.0397196261682243,0.2266355140186916,0.1331775700934579,0.0093457943925233,0.1318716441004468,0.07802796573411161,0.013530997573247909,0.04271068712102803,0.2211032863463586,0.25619681603922506,0.256558603085582,pbmc_4,-0.24721280869305867
pbmc_5,0.0659340659340659,0.0923076923076923,0.4021978021978022,0.0461538461538461,0.2879120879120879,0.0967032967032967,0.0087912087912087,0.11314223927658335,0.03434269271595963,0.015211521469615836,0.04549540061886619,0.32435641404505994,0.37980842116748187,0.08764331070643311,pbmc_5,-0.0788521019152244
pbmc_6,0.0709534368070953,0.1086474501108647,0.3126385809312638,0.0266075388026607,0.3569844789356984,0.1130820399113082,0.0110864745011086,0.12889451906900434,0.03916899935278407,0.022349356826014757,0.032459417889887876,0.3769195291750081,0.29220719414128593,0.10800098354601509,pbmc_6,-0.09691450904490649
pbmc_7,0.0425531914893617,0.1340425531914893,0.3425531914893617,0.0340425531914893,0.2531914893617021,0.1851063829787234,0.0085106382978723,0.19394393956565625,0.07652267440611667,0.011279150312054877,0.034767429344761035,0.2516178141031012,0.31603311449141563,0.11583587777689416,pbmc_7,-0.10732523947902187
pbmc_9,0.0564705882352941,0.1505882352941176,0.2658823529411764,0.0541176470588235,0.3294117647058823,0.1341176470588235,0.0094117647058823,0.13038845510824879,0.05610158619267367,0.008615305142653192,0.05648730768405363,0.31774365830061496,0.2643816335789288,0.16628205399282694,pbmc_9,-0.15687028928694463
