,B cells,CD4 T cells,CD8 T cells,DC,Monocytes,NK cells,Tregs
pbmc_1,0.066403047029578,0.1393324947898484,0.01595240369060141,0.019972833813245126,0.2367700529337647,0.17065538084452858,0.35091378689843394
pbmc_10,0.0654188733541136,0.07730064502271947,0.013065149708072165,0.028715565876998597,0.4141232115631312,0.214354799692908,0.16658197949305442
pbmc_12,0.1750335435743883,0.07753267410941919,0.0034961167131340606,0.054983882866260284,0.22710451906645565,0.32154454282613587,0.14030472084420664
pbmc_2,0.1458367295016485,0.03903937263767139,0.01634294165741423,0.033620276965608216,0.3070950159395304,0.21499819491794817,0.24306746838017906
pbmc_4,0.141393857637161,0.08828856616582022,0.013133395406618132,0.04699966237528173,0.21752988633655332,0.2668354478773202,0.22581918420124528
pbmc_5,0.12586506697644761,0.03966241319556729,0.018281410135094562,0.04538202112885074,0.31471060340578005,0.3714622861803885,0.08463619897787134
pbmc_6,0.12657093973509154,0.024267107880367712,0.024163453424199725,0.03355770311786841,0.3635901972578882,0.3002787121218491,0.10241586844805682
pbmc_7,0.18717025243533786,0.0872040893422003,0.009711257316307696,0.032737284810155254,0.25022253544792333,0.3218970850284243,0.11105749561965127
pbmc_9,0.12764227309752485,0.06102326223233862,0.00881697055041539,0.056460926957848726,0.3167711689679291,0.2738257899881461,0.15545960820579718
